maker_id,maker_name,country,century,N_Sales,Span_Years,First_Sale,Last_Sale,Real_CAGR_%,Is_Dead
86,"Breton, François",France,19,63,44,1980,2024,0.048405218924707505,True
367,"Laurent, Émile père",France,19,34,46,1980,2026,-0.11170403057989553,True
1094,"Perrin, Étienne",France,19,15,42,1982,2024,-0.12675910789694544,True
23,"Audinot, Victor",France,19,42,37,1987,2024,-0.24705509579767693,True
1023,"Chevrier, Claude",France,19,23,45,1980,2025,-0.2826210223200398,True
1184,"Cunault, Georges",France,19,27,41,1984,2025,-0.3787783704767178,True
311,"Jacquot, Charles",France,19,33,36,1988,2024,-0.4245963070428682,True
1265,"Grand-Gérard, Jean-Baptiste",France,19,16,41,1980,2021,-0.48256191617583877,True
1121,"Pillement, François",France,19,30,32,1981,2013,-0.524728714733047,True
199,"Gand, Charles Adolphe",France,19,12,37,1987,2024,-0.602230451052832,True
1533,"Mangenot, Paul Alexandre",France,19,55,39,1985,2024,-0.6269227186175397,True
288,"Holder, Thomas James",France,19,12,31,1988,2019,-0.6399521086946636,True
806,"Vuillaume, Nicolas François",France,19,29,41,1984,2025,-0.7462055775973475,True
2574,"Silvestre, Hippolyte",France,19,10,45,1978,2023,-0.7801789545180515,True
1838,"Hel, Pierre Joseph",France,19,154,49,1977,2026,-0.7851863291451822,True
63,"Bernardel, Gustave Adolphe",France,19,64,47,1978,2025,-0.8649423072448092,True
1431,"Collenot, Louis",France,19,22,35,1988,2023,-0.9896949958123735,True
848,"Chipot-Vuillaume, Jean-Baptiste",France,19,111,41,1983,2024,-0.990584604239042,True
687,"Simoutre, Nicolas",France,19,13,21,1985,2006,-1.087147955185097,True
77,"Blanchard, Paul Francois",France,19,108,42,1983,2025,-1.1015517846190148,True
1241,"Thouvenel, Nicolas Henry dit Paganini",France,19,10,22,1989,2011,-1.1738191648579366,True
675,"Serdet, Paul",France,19,17,32,1988,2020,-1.2647114422850603,True
10093,"Mougenot, Léon Victor",France,19,230,41,1983,2024,-1.2666950830483636,True
1369,"Aubry, Joseph",France,19,35,39,1985,2024,-1.3180145838508683,True
952,"Claudot, Augustin",France,19,18,36,1989,2025,-1.3730896651053315,True
1021,Chenantais & Le Lyonnais Firm,France,19,10,34,1986,2020,-1.4635590481766658,True
